optimizer,epoch,sampled_arch,best_arch,train_acc,val_acc,test_acc,train_time,reward,loss,entropy,wall_time_sec
re,2,"(3, 2, 4, 0, 0, 4)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8473999999999999,,,0.21634033299999977
re,3,"(2, 1, 0, 1, 1, 0)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8401000000000001,,,0.2767538749999998
re,4,"(1, 4, 3, 0, 3, 0)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8436,,,0.33732291699999983
re,5,"(2, 3, 0, 1, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.9020999999999999,,,0.3982014999999999
re,6,"(3, 0, 1, 1, 1, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8439,,,0.5726173750000001
re,7,"(2, 4, 3, 3, 2, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8802,,,0.6329587079999994
re,8,"(2, 0, 0, 4, 0, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8298000000000001,,,0.6936202079999996
re,9,"(1, 4, 1, 2, 2, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.7182,,,0.7548201670000001
re,10,"(2, 3, 0, 3, 4, 1)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8815999999999999,,,0.8164937500000002
re,11,"(2, 4, 3, 4, 4, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8367,,,0.8769673329999996
re,12,"(3, 4, 4, 4, 0, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.7868,,,1.0728875000000002
re,13,"(3, 2, 0, 1, 1, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8962,,,1.1359172920000002
re,14,"(0, 0, 1, 2, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8782,,,1.1966347500000003
re,15,"(0, 3, 2, 2, 0, 1)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8875,,,1.2580275419999998
re,16,"(0, 2, 2, 3, 2, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8952,,,1.3217823749999997
re,17,"(2, 1, 2, 3, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8954000000000001,,,1.383029583
re,18,"(2, 3, 4, 1, 2, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8917,,,1.6022017919999998
re,19,"(1, 2, 1, 4, 2, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8713,,,1.663600958
re,20,"(0, 3, 2, 3, 0, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8818,,,1.7297636249999995
re,21,"(0, 3, 2, 3, 0, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8875,,,1.795766125
re,22,"(0, 0, 2, 3, 2, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8915000000000001,,,1.858276417
re,23,"(0, 0, 0, 3, 0, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8475,,,1.921591458
re,24,"(2, 0, 4, 3, 4, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8559,,,1.9820631669999997
re,25,"(4, 3, 3, 4, 1, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8678,,,2.2419942500000003
re,26,"(0, 0, 0, 1, 0, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.6429,,,2.30658675
re,27,"(1, 3, 1, 0, 0, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8269,,,2.3713218749999996
re,28,"(3, 3, 1, 0, 0, 1)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8539,,,2.438516583
re,29,"(2, 0, 3, 1, 1, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8533,,,2.504417042
re,30,"(0, 0, 3, 2, 3, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8965000000000001,,,2.5709561249999995
re,31,"(1, 0, 3, 2, 3, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.89,,,2.6340155000000003
re,32,"(0, 0, 3, 1, 3, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8904000000000001,,,2.699043582999999
