optimizer,epoch,train_acc,val_acc,test_acc,train_time,wall_time_sec,best_arch
bananas,10,99.964,90.21,90.21,10.839458545049032,0.4859954169999998,"(2, 3, 0, 1, 3, 3)"
bananas,11,99.964,90.21,90.21,10.839458545049032,7.2453657499999995,"(2, 3, 0, 1, 3, 3)"
bananas,12,99.964,90.21,90.21,10.839458545049032,7.245412708999998,"(2, 3, 0, 1, 3, 3)"
bananas,13,99.964,90.21,90.21,10.839458545049032,7.245446792000001,"(2, 3, 0, 1, 3, 3)"
bananas,14,99.964,90.21,90.21,10.839458545049032,7.245480083999999,"(2, 3, 0, 1, 3, 3)"
bananas,15,99.964,90.21,90.21,10.839458545049032,7.245512834000001,"(2, 3, 0, 1, 3, 3)"
bananas,16,99.964,90.21,90.21,10.839458545049032,7.245546333999998,"(2, 3, 0, 1, 3, 3)"
bananas,17,99.964,90.21,90.21,10.839458545049032,7.245579874999999,"(2, 3, 0, 1, 3, 3)"
bananas,18,99.964,90.21,90.21,10.839458545049032,7.245613583999999,"(2, 3, 0, 1, 3, 3)"
bananas,19,99.964,90.21,90.21,10.839458545049032,7.245647042,"(2, 3, 0, 1, 3, 3)"
bananas,20,99.964,90.21,90.21,10.839458545049032,7.245679791999999,"(2, 3, 0, 1, 3, 3)"
bananas,21,99.964,90.21,90.21,10.839458545049032,13.741653874999999,"(2, 3, 0, 1, 3, 3)"
bananas,22,99.964,90.21,90.21,10.839458545049032,13.741707084,"(2, 3, 0, 1, 3, 3)"
bananas,23,99.992,90.3,90.3,9.657959580421448,13.741739749999999,"(2, 3, 0, 1, 2, 1)"
bananas,24,99.992,90.3,90.3,9.657959580421448,13.741772792,"(2, 3, 0, 1, 2, 1)"
bananas,25,99.992,90.3,90.3,9.657959580421448,13.741805084000001,"(2, 3, 0, 1, 2, 1)"
bananas,26,99.992,90.3,90.3,9.657959580421448,13.741837667,"(2, 3, 0, 1, 2, 1)"
bananas,27,99.992,90.3,90.3,9.657959580421448,13.741869291999999,"(2, 3, 0, 1, 2, 1)"
bananas,28,99.992,90.3,90.3,9.657959580421448,13.741900834,"(2, 3, 0, 1, 2, 1)"
bananas,29,99.992,90.3,90.3,9.657959580421448,13.741932375,"(2, 3, 0, 1, 2, 1)"
bananas,30,99.992,90.3,90.3,9.657959580421448,13.741964916999999,"(2, 3, 0, 1, 2, 1)"
bananas,31,99.992,90.3,90.3,9.657959580421448,20.789774917000003,"(2, 3, 0, 1, 2, 1)"
bananas,32,99.992,90.3,90.3,9.657959580421448,20.789830541999997,"(2, 3, 0, 1, 2, 1)"
bananas,33,99.992,90.3,90.3,9.657959580421448,20.789865333999998,"(2, 3, 0, 1, 2, 1)"
bananas,34,99.992,90.3,90.3,9.657959580421448,20.789898291999997,"(2, 3, 0, 1, 2, 1)"
bananas,35,99.984,90.89,90.89,9.424267391363779,20.789930875000003,"(2, 3, 0, 1, 2, 0)"
bananas,36,99.984,90.89,90.89,9.424267391363779,20.789969375,"(2, 3, 0, 1, 2, 0)"
