optimizer,epoch,sampled_arch,best_arch,train_acc,val_acc,test_acc,train_time,reward,loss,entropy,wall_time_sec
rl,5,"(0, 0, 1, 0, 3, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.862,0.07595460116863251,9.627035140991211,0.15167733300000208
rl,6,"(0, 3, 0, 2, 3, 1)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8695999999999999,0.12730565667152405,9.628740310668945,0.1752184170000035
rl,7,"(4, 1, 3, 3, 0, 4)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.852,-0.05822641775012016,9.607609748840332,0.19885179199999925
rl,8,"(3, 2, 4, 3, 0, 4)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.866,0.07295353710651398,9.61569881439209,0.22270041699999865
rl,9,"(0, 2, 2, 1, 3, 1)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8911,0.3049291670322418,9.611173629760742,0.24654441700000262
rl,10,"(1, 1, 2, 1, 4, 2)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8864,0.23755326867103577,9.58121109008789,0.27037804200000437
rl,11,"(3, 1, 3, 2, 3, 1)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.853,-0.1404181867837906,9.60718822479248,0.294191957999999
rl,12,"(4, 0, 1, 4, 0, 0)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.5692,-2.751807928085327,9.619614601135254,0.3177918750000046
rl,13,"(4, 3, 4, 2, 0, 1)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.6905,-1.4085369110107422,9.618940353393555,0.3414757920000042
rl,14,"(0, 0, 2, 2, 3, 2)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8987999999999999,0.6952060461044312,9.628341674804688,0.3653406670000052
rl,15,"(2, 0, 3, 2, 3, 4)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8858,0.5128387808799744,9.622512817382812,0.48525400000000474
rl,16,"(3, 3, 3, 1, 3, 4)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8703,0.30603834986686707,9.60373592376709,0.5100164170000028
rl,17,"(2, 3, 2, 4, 0, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8892,0.4432571232318878,9.614934921264648,0.5354583750000046
rl,18,"(4, 0, 1, 0, 0, 0)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.6122,-2.2014684677124023,9.62147045135498,0.5612547079999999
rl,19,"(4, 0, 3, 1, 1, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8556999999999999,0.2798311710357666,9.61607551574707,0.5871424999999988
rl,20,"(0, 0, 3, 1, 1, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8568000000000001,0.2533153295516968,9.62088394165039,0.6116938330000039
rl,21,"(1, 2, 3, 2, 3, 0)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8912,0.5620446801185608,9.609074592590332,0.6371922500000053
rl,22,"(2, 0, 4, 1, 4, 4)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8206,-0.19581615924835205,9.616903305053711,0.6628078330000022
rl,23,"(3, 3, 1, 1, 3, 0)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8621,0.21498560905456543,9.605855941772461,0.6885363750000053
rl,24,"(4, 1, 3, 4, 3, 2)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8722,0.2872486412525177,9.611784934997559,0.7141125830000021
rl,25,"(4, 0, 2, 2, 0, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8798999999999999,0.29570406675338745,9.622676849365234,0.7397387500000008
rl,26,"(4, 4, 3, 3, 4, 0)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.7965000000000001,-0.5167785882949829,9.616483688354492,0.7657916249999985
rl,27,"(2, 0, 1, 2, 4, 2)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8875,0.4062921404838562,9.61876106262207,0.886831542000003
rl,28,"(3, 1, 2, 3, 3, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8843000000000001,0.3196989595890045,9.613118171691895,0.9137402500000036
rl,29,"(3, 0, 3, 4, 3, 0)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8715,0.14030854403972626,9.622620582580566,0.9399009580000026
rl,30,"(0, 4, 3, 2, 3, 4)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8536,-0.047784216701984406,9.625256538391113,0.9655525420000046
rl,31,"(4, 2, 1, 4, 2, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8619,0.02854282408952713,9.610547065734863,0.9908595830000024
rl,32,"(4, 2, 1, 3, 1, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8733,0.12842555344104767,9.60647201538086,1.0164150420000055
rl,33,"(4, 3, 4, 4, 0, 1)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.7169,-1.4155128002166748,9.615904808044434,1.0419225000000054
rl,34,"(1, 1, 2, 2, 1, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8864,0.392801433801651,9.598577499389648,1.0672272079999985
rl,35,"(2, 0, 4, 4, 2, 2)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8878,0.3365165889263153,9.618762016296387,1.0927883330000014
rl,36,"(3, 3, 2, 4, 0, 2)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8929,0.327197790145874,9.613235473632812,1.118615708
rl,37,"(2, 3, 4, 2, 0, 4)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8781,0.15389931201934814,9.616110801696777,1.1442945000000009
rl,38,"(4, 3, 0, 0, 1, 4)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.7934,-0.680674135684967,9.618623733520508,1.2645048330000037
rl,39,"(2, 3, 4, 3, 0, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8837999999999999,0.2325182408094406,9.615863800048828,1.2901051250000037
rl,40,"(3, 2, 1, 4, 2, 2)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8808,0.18368366360664368,9.61235523223877,1.315984292000003
rl,41,"(3, 0, 2, 2, 4, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8948999999999999,0.2717819809913635,9.620841026306152,1.3409593330000007
rl,42,"(1, 0, 3, 3, 0, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8622,-0.06911821663379669,9.616374969482422,1.3661899579999996
rl,43,"(3, 1, 4, 0, 2, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8726999999999999,0.025312528014183044,9.617735862731934,1.3902900420000037
rl,44,"(3, 0, 3, 2, 2, 1)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8895000000000001,0.1786659061908722,9.62291145324707,1.414129458000005
rl,45,"(2, 1, 0, 0, 0, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.899,0.24330437183380127,9.604447364807129,1.4379775000000024
rl,46,"(4, 0, 4, 0, 2, 2)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8584999999999999,-0.17745345830917358,9.61422061920166,1.4618850000000023
rl,47,"(1, 4, 3, 0, 4, 1)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8545999999999999,-0.21082231402397156,9.61362075805664,1.486327375000002
rl,48,"(2, 4, 2, 1, 3, 0)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8946,0.1875702142715454,9.609380722045898,1.5097499170000006
rl,49,"(3, 3, 4, 1, 4, 0)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8515999999999999,-0.2568994164466858,9.615707397460938,1.620913458000004
rl,50,"(4, 4, 0, 0, 4, 1)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.7694,-1.0501090288162231,9.607090950012207,1.6447088749999992
darts_proxy,1,"(4, 2, 3, 0, 4, 2)","(4, 2, 3, 0, 4, 2)",99.9,86.56,86.56,11.520736118157705,0.8656,0.0,9.656627655029297,0.027917958999999826
darts_proxy,2,"(2, 2, 0, 2, 3, 2)","(2, 2, 0, 2, 3, 2)",99.976,91.32,91.32,14.030071238676706,0.9131999999999999,0.006933723576366901,9.656627655029297,0.059908542000002285
darts_proxy,3,"(4, 2, 3, 4, 1, 3)","(2, 2, 0, 2, 3, 2)",99.976,91.32,91.32,14.030071238676706,0.888,0.0002675778523553163,9.656627655029297,0.09029079199999757
darts_proxy,4,"(3, 2, 0, 2, 4, 2)","(2, 2, 0, 2, 3, 2)",99.976,91.32,91.32,14.030071238676706,0.9097,8.880446330294944e-06,9.656627655029297,0.1223187089999982
darts_proxy,5,"(0, 3, 0, 1, 3, 4)","(2, 2, 0, 2, 3, 2)",99.976,91.32,91.32,14.030071238676706,0.87,0.0001897896290756762,9.656627655029297,0.15173720899999665
darts_proxy,6,"(0, 2, 2, 2, 1, 0)","(2, 2, 0, 2, 3, 2)",99.976,91.32,91.32,14.030071238676706,0.8885,4.060712308273651e-05,9.656627655029297,0.18031304200000164
darts_proxy,7,"(1, 3, 1, 2, 3, 2)","(2, 2, 0, 2, 3, 2)",99.976,91.32,91.32,14.030071238676706,0.8713,2.57308165600989e-05,9.656627655029297,0.2085836669999992
darts_proxy,8,"(2, 0, 3, 1, 3, 1)","(2, 2, 0, 2, 3, 2)",99.976,91.32,91.32,14.030071238676706,0.895,5.444664111564634e-06,9.656627655029297,0.23666775000000229
darts_proxy,9,"(4, 2, 2, 0, 2, 3)","(2, 2, 0, 2, 3, 2)",99.976,91.32,91.32,14.030071238676706,0.889,3.0848034384689527e-06,9.656627655029297,0.26520024999999947
darts_proxy,10,"(3, 2, 1, 2, 1, 3)","(2, 2, 0, 2, 3, 2)",99.976,91.32,91.32,14.030071238676706,0.8681,-0.7003887891769409,9.656627655029297,0.38283175000000114
